"code","uri","label","definition","label_en","label_fr","label_es"
"MDG","","Madagascar","","Madagascar","Madagascar","Madagascar"
"MDV","","Maldives","","Maldives","Maldives","Maldivas"
"MEX","","Mexico","","Mexico","Mexique","México"
"MHL","","Marshall Islands","","Marshall Islands","Îles Marshall","Islas Marshall"
"MMR","","Myanmar","","Myanmar","Myanmar","Myanmar"
"MNE","","Montenegro","","Montenegro","Monténégro","Montenegro"
"MNP","","Northern Mariana Is.","","Northern Mariana Is.","Îles Mariannes du Nord","Islas Marianas septent."
"MOZ","","Mozambique","","Mozambique","Mozambique","Mozambique"
"MRT","","Mauritania","","Mauritania","Mauritanie","Mauritania"
"MUS","","Mauritius","","Mauritius","Maurice","Mauricio"
"MYS","","Malaysia","","Malaysia","Malaisie","Malasia"
"NAM","","Namibia","","Namibia","Namibie","Namibia"
"NCL","","New Caledonia","","New Caledonia","Nouvelle-Calédonie","Nueva Caledonia"
"NEI","","Other nei","","Other nei","Autres nca","Otros nep"
"NGA","","Nigeria","","Nigeria","Nigéria","Nigeria"
"NIC","","Nicaragua","","Nicaragua","Nicaragua","Nicaragua"
"NIU","","Niue","","Niue","Nioué","Niue"
"NOR","","Norway","","Norway","Norvège","Noruega"
"NRU","","Nauru","","Nauru","Nauru","Nauru"
"NZL","","New Zealand","","New Zealand","Nouvelle-Zélande","Nueva Zelandia"
"OMN","","Oman","","Oman","Oman","Omán"
"PAK","","Pakistan","","Pakistan","Pakistan","Pakistán"
"PAN","","Panama","","Panama","Panama","Panamá"
"PER","","Peru","","Peru","Pérou","Perú"
"PHL","","Philippines","","Philippines","Philippines","Filipinas"
"PLW","","Palau","","Palau","Palaos","Palau"
"PNG","","Papua New Guinea","","Papua New Guinea","Papouasie-Nlle-Guinée","Papua Nueva Guinea"
"PRI","","Puerto Rico","","Puerto Rico","Porto Rico","Puerto Rico"
"PSE","","Palestine, Occupied Tr.","","Palestine, Occupied Tr.","Palestine, terr.occupé","Palestina, Terri.Ocupado"
"PYF","","French Polynesia","","French Polynesia","Polynésie française","Polinesia Francesa"
"QAT","","Qatar","","Qatar","Qatar","Qatar"
"RUS","","Russian Federation","","Russian Federation","Fédération de Russie","Federación de Rusia"
"SAU","","Saudi Arabia","","Saudi Arabia","Arabie saoudite","Arabia Saudita"
"SCG","","Serbia and Montenegro","","Serbia and Montenegro","Serbie-et-Monténégro","Serbia y Montenegro"
"SDN","","Sudan","","Sudan","Soudan","Sudán"
"SEN","","Senegal","","Senegal","Sénégal","Senegal"
"SGP","","Singapore","","Singapore","Singapour","Singapur"
"SHN","","Saint Helena","","Saint Helena","Sainte-Hélène","Santa Elena"
"SLB","","Solomon Islands","","Solomon Islands","Îles Salomon","Islas Salomón"
"SLE","","Sierra Leone","","Sierra Leone","Sierra Leone","Sierra Leona"
"SLV","","El Salvador","","El Salvador","El Salvador","El Salvador"
"SOM","","Somalia","","Somalia","Somalie","Somalia"
"SPM","","St. Pierre and Miquelon","","St. Pierre and Miquelon","Saint-Pierre-et-Miquelon","San Pedro y Miquelón"
"SRB","","Serbia","","Serbia","Serbie","Serbia"
"STP","","Sao Tome and Principe","","Sao Tome and Principe","Sao Tomé-et-Principe","Santo Tomé y Príncipe"
"SUN","","Un. Sov. Soc. Rep.","","Un. Sov. Soc. Rep.","Union des Rép.soc.sov.","Unión de Rep.Soc.Sov."
"SUR","","Suriname","","Suriname","Suriname","Suriname"
"SYC","","Seychelles","","Seychelles","Seychelles","Seychelles"
"SYR","","Syrian Arab Republic","","Syrian Arab Republic","Rép. arabe syrienne","República Árabe Siria"
"TCA","","Turks and Caicos Is.","","Turks and Caicos Is.","Îles Turques et Caïques","Islas Turcas y Caicos"
"TGO","","Togo","","Togo","Togo","Togo"
"THA","","Thailand","","Thailand","Thaïlande","Tailandia"
"TKM","","Turkmenistan","","Turkmenistan","Turkménistan","Turkmenistán"
"TLS","","Timor-Leste","","Timor-Leste","Timor-Leste","Timor-Leste"
"TON","","Tonga","","Tonga","Tonga","Tonga"
"TTO","","Trinidad and Tobago","","Trinidad and Tobago","Trinité-et-Tobago","Trinidad y Tabago"
"TUN","","Tunisia","","Tunisia","Tunisie","Túnez"
"TUR","","Turkey","","Turkey","Turquie","Turquía"
"TUV","","Tuvalu","","Tuvalu","Tuvalu","Tuvalu"
"TWN","","Taiwan Province of China","","Taiwan Province of China","Prov. chinoise de Taïwan","Prov. china de Taiwán"
"TZA","","Tanzania, United Rep. of","","Tanzania, United Rep. of","Rép.-Unie de Tanzanie","Rep. Unida de Tanzanía"
"UKR","","Ukraine","","Ukraine","Ukraine","Ucrania"
"URY","","Uruguay","","Uruguay","Uruguay","Uruguay"
"USA","","United States of America","","United States of America","États-Unis d'Amérique","EstadosUnidos de América"
"VCT","","Saint Vincent/Grenadines","","Saint Vincent/Grenadines","Saint-Vincent/Grenadines","San Vicente/Grenadinas"
"VEN","","Venezuela, Boliv Rep of","","Venezuela, Boliv Rep of","Venezuela, Rép boliv du","Venezuela, Rep Boliv de"
"VGB","","British Virgin Islands","","British Virgin Islands","Îles Vierges britanniq.","Islas Vírgenes Britán."
"VIR","","US Virgin Islands","","US Virgin Islands","Îles Vierges américaines","Islas Vírgenes (EE.UU.)"
"VNM","","Viet Nam","","Viet Nam","Viet Nam","Viet Nam"
"VUT","","Vanuatu","","Vanuatu","Vanuatu","Vanuatu"
"WLF","","Wallis and Futuna Is.","","Wallis and Futuna Is.","Îles Wallis et Futuna","Islas Wallis y Futuna"
"WSM","","Samoa","","Samoa","Samoa","Samoa"
"YEM","","Yemen","","Yemen","Yémen","Yemen"
"YUG","","Yugoslavia SFR","","Yugoslavia SFR","RFS de Yougoslavie","RFS de Yugoslavia"
"ZAF","","South Africa","","South Africa","Afrique du Sud","Sudáfrica"
